Proceso,Agno,COMA
Hidro_Pasada_VI,2028,56.5510275761665
Hidro_Pasada_VII,2028,56.5510275761665
Hidro_Pasada_VIII,2028,56.5510275761665
Hidro_Pasada_X-XIV,2028,56.5510275761665
Solar_FV_SING,2028,17.195925866481655
Solar_FV_II-III,2028,17.195925866481655
Solar_FV_IV,2028,17.195925866481655
Solar_FV_V,2028,17.195925866481655
Solar_FV_XIII,2028,17.195925866481655
Solar_FV_VI,2028,17.195925866481655
Carbon_SING,2029,65.89266298588049
Carbon_II-III,2029,65.89266298588049
GNL_CC_SING,2029,33.94092549439441
GNL_CC_II-III,2029,33.94092549439441
GNL_CC_VIII,2029,33.94092549439441
GNL_CA_SING,2029,33.94092549439441
GNL_CA_II-III,2029,33.94092549439441
GNL_CA_VIII,2029,33.94092549439441
Diesel_SING,2029,22.5
Diesel_IV,2029,22.5
Diesel_X-XIV,2029,22.5
Biomasa_VII,2029,123.52841256093839
Biomasa_VIII,2029,123.52841256093839
Biomasa_X-XIV,2029,123.52841256093839
Geotermica_SING,2029,167.95549834442772
Geotermica_VI,2029,167.95549834442772
Geotermica_VII,2029,167.95549834442772
Geotermica_VIII,2029,167.95549834442772
Solar_CSP_SING,2029,30.0
Solar_CSP_II-III,2029,30.0
Eolica_SING,2029,29.295241589614953
Eolica_II-III,2029,29.295241589614953
Eolica_IV,2029,29.295241589614953
Eolica_V,2029,29.295241589614953
Eolica_VI,2029,29.295241589614953
Eolica_VIII,2029,29.295241589614953
Eolica_X-XIV,2029,29.295241589614953
Hidro_Pasada_XIII,2029,56.70541784608663
Hidro_Pasada_VI,2029,56.70541784608663
Hidro_Pasada_VII,2029,56.70541784608663
Hidro_Pasada_VIII,2029,56.70541784608663
Hidro_Pasada_X-XIV,2029,56.70541784608663
Solar_FV_SING,2029,16.94974274667755
Solar_FV_II-III,2029,16.94974274667755
Solar_FV_IV,2029,16.94974274667755
Solar_FV_V,2029,16.94974274667755
Solar_FV_XIII,2029,16.94974274667755
Solar_FV_VI,2029,16.94974274667755
Carbon_SING,2030,66.03108479613633
Carbon_II-III,2030,66.03108479613633
GNL_CC_SING,2030,34.24967596099133
GNL_CC_II-III,2030,34.24967596099133
GNL_CC_VIII,2030,34.24967596099133
GNL_CA_SING,2030,34.24967596099133
GNL_CA_II-III,2030,34.24967596099133
GNL_CA_VIII,2030,34.24967596099133
Diesel_SING,2030,22.5
Diesel_IV,2030,22.5
Diesel_X-XIV,2030,22.5
