Proceso,Agno,Pmax
TRANS_VEH_GASOLINA_2018,2049,284348.0
TRANS_VEH_GASOLINA_2018,2050,284348.0
TRANS_VEH_DIESEL_2018,2017,0.0
TRANS_VEH_DIESEL_2018,2018,27839.0
TRANS_VEH_DIESEL_2018,2019,27839.0
TRANS_VEH_DIESEL_2018,2020,27839.0
TRANS_VEH_DIESEL_2018,2021,27839.0
TRANS_VEH_DIESEL_2018,2022,27839.0
TRANS_VEH_DIESEL_2018,2023,27839.0
TRANS_VEH_DIESEL_2018,2024,27839.0
TRANS_VEH_DIESEL_2018,2025,27839.0
TRANS_VEH_DIESEL_2018,2026,27839.0
TRANS_VEH_DIESEL_2018,2027,27839.0
TRANS_VEH_DIESEL_2018,2028,27839.0
TRANS_VEH_DIESEL_2018,2029,27839.0
TRANS_VEH_DIESEL_2018,2030,27839.0
TRANS_VEH_DIESEL_2018,2031,27839.0
TRANS_VEH_DIESEL_2018,2032,27839.0
TRANS_VEH_DIESEL_2018,2033,27839.0
TRANS_VEH_DIESEL_2018,2034,27839.0
TRANS_VEH_DIESEL_2018,2035,27839.0
TRANS_VEH_DIESEL_2018,2036,27839.0
TRANS_VEH_DIESEL_2018,2037,27839.0
TRANS_VEH_DIESEL_2018,2038,27839.0
TRANS_VEH_DIESEL_2018,2039,27839.0
TRANS_VEH_DIESEL_2018,2040,27839.0
TRANS_VEH_DIESEL_2018,2041,27839.0
TRANS_VEH_DIESEL_2018,2042,27839.0
TRANS_VEH_DIESEL_2018,2043,27839.0
TRANS_VEH_DIESEL_2018,2044,27839.0
TRANS_VEH_DIESEL_2018,2045,27839.0
TRANS_VEH_DIESEL_2018,2046,27839.0
TRANS_VEH_DIESEL_2018,2047,27839.0
TRANS_VEH_DIESEL_2018,2048,27839.0
TRANS_VEH_DIESEL_2018,2049,27839.0
TRANS_VEH_DIESEL_2018,2050,27839.0
TRANS_VEH_HIBRIDO_2018,2017,0.0
TRANS_VEH_HIBRIDO_2018,2018,910.0
TRANS_VEH_HIBRIDO_2018,2019,910.0
TRANS_VEH_HIBRIDO_2018,2020,910.0
TRANS_VEH_HIBRIDO_2018,2021,910.0
TRANS_VEH_HIBRIDO_2018,2022,910.0
TRANS_VEH_HIBRIDO_2018,2023,910.0
TRANS_VEH_HIBRIDO_2018,2024,910.0
TRANS_VEH_HIBRIDO_2018,2025,910.0
TRANS_VEH_HIBRIDO_2018,2026,910.0
TRANS_VEH_HIBRIDO_2018,2027,910.0
TRANS_VEH_HIBRIDO_2018,2028,910.0
TRANS_VEH_HIBRIDO_2018,2029,910.0
TRANS_VEH_HIBRIDO_2018,2030,910.0
TRANS_VEH_HIBRIDO_2018,2031,910.0
TRANS_VEH_HIBRIDO_2018,2032,910.0
TRANS_VEH_HIBRIDO_2018,2033,910.0
TRANS_VEH_HIBRIDO_2018,2034,910.0
TRANS_VEH_HIBRIDO_2018,2035,910.0
TRANS_VEH_HIBRIDO_2018,2036,910.0
TRANS_VEH_HIBRIDO_2018,2037,910.0
TRANS_VEH_HIBRIDO_2018,2038,910.0
TRANS_VEH_HIBRIDO_2018,2039,910.0
