Proceso,Agno,Etapa,Factor_Planta
EL_CANELO,2017,2,0.313283208
EL_CANELO,2017,3,0.31170416
EL_CANELO,2017,4,0.424890351
EL_CANELO,2017,5,0.826789757
EL_CANELO,2017,6,0.815515351
EL_CANELO,2017,7,0.879845784
EL_CANELO,2017,8,0.658779004
EL_CANELO,2017,9,0.625913743
EL_CANELO,2017,10,0.411184211
EL_CANELO,2017,11,0.388340643
EL_CANELO,2017,12,0.464240238
EL_COLORADO,2017,1,0.463709677
EL_COLORADO,2017,2,0.595238095
EL_COLORADO,2017,3,0.954301075
EL_COLORADO,2017,4,0.854166667
EL_COLORADO,2017,5,1.008064516
EL_COLORADO,2017,6,1
EL_COLORADO,2017,7,0.846774194
EL_COLORADO,2017,8,1.008064516
EL_COLORADO,2017,9,0.777777778
EL_COLORADO,2017,10,0.504032258
EL_COLORADO,2017,11,0.520833333
EL_COLORADO,2017,12,0.302419355
EL_DIUTO,2017,1,1.00082713
EL_DIUTO,2017,2,1.002747253
EL_DIUTO,2017,3,1.00082713
EL_DIUTO,2017,4,1
EL_DIUTO,2017,5,1.00082713
EL_DIUTO,2017,6,1
EL_DIUTO,2017,7,1.00082713
EL_DIUTO,2017,8,1.00082713
EL_DIUTO,2017,9,1
EL_DIUTO,2017,10,1.00082713
EL_DIUTO,2017,11,1
EL_DIUTO,2017,12,1.00082713
EL_GALPON,2017,1,0.961538462
EL_GALPON,2017,2,0.938644689
EL_GALPON,2017,3,0.961538462
EL_GALPON,2017,4,0.950854701
EL_GALPON,2017,5,0.961538462
EL_GALPON,2017,6,0.961538462
EL_GALPON,2017,7,0.961538462
EL_GALPON,2017,8,0.961538462
EL_GALPON,2017,9,0.950854701
EL_GALPON,2017,10,0.961538462
EL_GALPON,2017,11,0.961538462
EL_GALPON,2017,12,0.961538462
EL_LLANO,2017,1,0.793010753
EL_LLANO,2017,2,0.669642857
EL_LLANO,2017,3,0.483870968
EL_LLANO,2017,4,0.388888889
EL_LLANO,2017,5,0.430107527
EL_LLANO,2017,6,0.541666667
EL_LLANO,2017,7,0.591397849
EL_LLANO,2017,8,0.483870968
EL_LLANO,2017,9,0.625
EL_LLANO,2017,10,0.745967742
EL_LLANO,2017,11,0.930555556
EL_LLANO,2017,12,0.927419355
EL_MANZANO,2017,1,0.615231127
EL_MANZANO,2017,2,0.533873343
EL_MANZANO,2017,3,0.484979492
EL_MANZANO,2017,4,0.647193585
EL_MANZANO,2017,5,1.014299967
EL_MANZANO,2017,6,1.008018328
EL_MANZANO,2017,7,1.014299967
EL_MANZANO,2017,8,1.014299967
EL_MANZANO,2017,9,1.008018328
EL_MANZANO,2017,10,1.014299967
EL_MANZANO,2017,11,1.008018328
EL_MANZANO,2017,12,1.014299967
EL_MIRADOR,2017,1,0.107526882
EL_MIRADOR,2017,2,0.069444444
EL_MIRADOR,2017,3,0.098566308
EL_MIRADOR,2017,4,0.226851852
EL_MIRADOR,2017,5,0.981182796
EL_MIRADOR,2017,6,0.986111111
EL_MIRADOR,2017,7,0.981182796
EL_MIRADOR,2017,8,0.766129032
EL_MIRADOR,2017,9,0.935185185
EL_MIRADOR,2017,10,0.676523297
EL_MIRADOR,2017,11,0.638888889
EL_MIRADOR,2017,12,0.681003584
EL_PASO,2017,1,1
EL_PASO,2017,2,1
EL_PASO,2017,3,0.666666667
EL_PASO,2017,4,0.479398148
EL_PASO,2017,5,0.339157706
EL_PASO,2017,6,0.248148148
EL_PASO,2017,7,0.26344086
EL_PASO,2017,8,0.139784946
EL_PASO,2017,9,0.172222222
EL_PASO,2017,10,0.290098566
EL_PASO,2017,11,0.896759259
EL_PASO,2017,12,1
EL_PINAR,2017,1,0
EL_PINAR,2017,2,0
EL_PINAR,2017,3,0
EL_PINAR,2017,4,1.001461988
EL_PINAR,2017,5,0.999811356
EL_PINAR,2017,6,1.001461988
EL_PINAR,2017,7,0.999811356
EL_PINAR,2017,8,0.999811356
EL_PINAR,2017,9,1.001461988
EL_PINAR,2017,10,0.886625165
EL_PINAR,2017,11,1.001461988
EL_PINAR,2017,12,0.999811356
EL_RINCON,2017,1,0.940860215
EL_RINCON,2017,2,0.843253968
EL_RINCON,2017,3,0.940860215
EL_RINCON,2017,4,0.972222222
EL_RINCON,2017,5,0.940860215
EL_RINCON,2017,6,0.972222222
EL_RINCON,2017,7,0.940860215
EL_RINCON,2017,8,0.940860215
EL_RINCON,2017,9,0.972222222
EL_RINCON,2017,10,0.940860215
EL_RINCON,2017,11,0.972222222
EL_RINCON,2017,12,0.940860215
EL_TARTARO,2017,1,0
EL_TARTARO,2017,2,0
EL_TARTARO,2017,3,0
EL_TARTARO,2017,4,0
EL_TARTARO,2017,5,0.129239041
EL_TARTARO,2017,6,0.133547009
EL_TARTARO,2017,7,0.129239041
EL_TARTARO,2017,8,0.129239041
EL_TARTARO,2017,9,0.801282051
EL_TARTARO,2017,10,0.387717122
EL_TARTARO,2017,11,0.801282051
EL_TARTARO,2017,12,0.775434243
EL_TORO_N2,2017,1,0.708699902
EL_TORO_N2,2017,2,0.730519481
EL_TORO_N2,2017,3,0.708699902
EL_TORO_N2,2017,4,0.732323232
EL_TORO_N2,2017,5,0.708699902
EL_TORO_N2,2017,6,0.732323232
EL_TORO_N2,2017,7,0.708699902
EL_TORO_N2,2017,8,0.708699902
EL_TORO_N2,2017,9,0.732323232
EL_TORO_N2,2017,10,0.708699902
EL_TORO_N2,2017,11,0.732323232
EL_TORO_N2,2017,12,0.708699902
ELTORO,2017,1,0.658661888
ELTORO,2017,2,0.456812169
ELTORO,2017,3,0.602270012
ELTORO,2017,4,0.123117284
ELTORO,2017,5,0
ELTORO,2017,6,0
ELTORO,2017,7,0
ELTORO,2017,8,0.113201912
ELTORO,2017,9,0
ELTORO,2017,10,0
ELTORO,2017,11,0.150401235
ELTORO,2017,12,0.302777778
ENSENADA,2017,1,0
ENSENADA,2017,2,0
ENSENADA,2017,3,0
ENSENADA,2017,4,0
ENSENADA,2017,5,0
ENSENADA,2017,6,0
ENSENADA,2017,7,0
ENSENADA,2017,8,0
ENSENADA,2017,9,0
ENSENADA,2017,10,0
ENSENADA,2017,11,0
ENSENADA,2017,12,0
EYZAGUIRRE,2017,1,0.480030722
EYZAGUIRRE,2017,2,0.467687075
EYZAGUIRRE,2017,3,0.396825397
EYZAGUIRRE,2017,4,0.423280423
EYZAGUIRRE,2017,5,0.204813108
EYZAGUIRRE,2017,6,0.152116402
EYZAGUIRRE,2017,7,0
EYZAGUIRRE,2017,8,0
EYZAGUIRRE,2017,9,0.205026455
EYZAGUIRRE,2017,10,0.243215566
