Demanda,Etapa,Participacion
coccion_electricidad_V,7,0.08333333333333333
coccion_gas_licuado_V,7,0.08333333333333333
refrigeracion_V,7,0.08333333333333333
iluminacion_V,7,0.08333333333333333
otros_electricos_V,7,0.08333333333333333
enfriamiento_V,7,0.08333333333333333
calefaccion_biomasa_V,8,0.15
calefaccion_electricidad_V,8,0.15
coccion_electricidad_V,8,0.08333333333333333
coccion_gas_licuado_V,8,0.08333333333333333
refrigeracion_V,8,0.08333333333333333
iluminacion_V,8,0.08333333333333333
otros_electricos_V,8,0.08333333333333333
enfriamiento_V,8,0.08333333333333333
calefaccion_biomasa_V,9,0.1
calefaccion_electricidad_V,9,0.1
coccion_electricidad_V,9,0.08333333333333333
coccion_gas_licuado_V,9,0.08333333333333333
refrigeracion_V,9,0.08333333333333333
iluminacion_V,9,0.08333333333333333
otros_electricos_V,9,0.08333333333333333
enfriamiento_V,9,0.08333333333333333
calefaccion_biomasa_V,10,0.05
calefaccion_electricidad_V,10,0.05
coccion_electricidad_V,10,0.08333333333333333
coccion_gas_licuado_V,10,0.08333333333333333
refrigeracion_V,10,0.08333333333333333
iluminacion_V,10,0.08333333333333333
otros_electricos_V,10,0.08333333333333333
enfriamiento_V,10,0.08333333333333333
calefaccion_biomasa_V,11,0.0
calefaccion_electricidad_V,11,0.0
coccion_electricidad_V,11,0.08333333333333333
coccion_gas_licuado_V,11,0.08333333333333333
refrigeracion_V,11,0.08333333333333333
iluminacion_V,11,0.08333333333333333
otros_electricos_V,11,0.08333333333333333
enfriamiento_V,11,0.08333333333333333
calefaccion_biomasa_V,12,0.0
calefaccion_electricidad_V,12,0.0
coccion_electricidad_V,12,0.08333333333333333
coccion_gas_licuado_V,12,0.08333333333333333
