Sector,Energetico,GEI,FE
minas_varias,biogas,CH4,1.0
minas_varias,biomasa,CH4,0.0
minas_varias,solar,CH4,0.0
minas_varias,diesel,N2O,0.6
minas_varias,petroleo_combustible,N2O,0.6
minas_varias,gasolina,N2O,0.6
minas_varias,kerenose,N2O,0.6
minas_varias,gas_licuado,N2O,0.1
minas_varias,gasolina_aviacion,N2O,0.6
minas_varias,kerosene_aviacion,N2O,0.6
minas_varias,nafta,N2O,0.6
minas_varias,gas_refineria,N2O,0.1
minas_varias,coque_petroleo,N2O,1.5
minas_varias,derivados_industria_petroleo,N2O,0.0
minas_varias,electricidad,N2O,0.0
minas_varias,carbon,N2O,1.5
minas_varias,coque_mineral,N2O,1.5
minas_varias,alquitran,N2O,0.6
minas_varias,gas_corriente,N2O,0.0
minas_varias,gas_coque,N2O,0.0
minas_varias,gas_alto_horno,N2O,0.1
minas_varias,gas_natural,N2O,0.1
minas_varias,metano,N2O,0.1
minas_varias,biogas,N2O,0.1
minas_varias,biomasa,N2O,0.0
minas_varias,solar,N2O,0.0
industrias_varias,diesel,CO2,74100.0
industrias_varias,petroleo_combustible,CO2,74100.0
industrias_varias,gasolina,CO2,69300.0
industrias_varias,kerenose,CO2,71900.0
industrias_varias,gas_licuado,CO2,63100.0
industrias_varias,gasolina_aviacion,CO2,70000.0
industrias_varias,kerosene_aviacion,CO2,71500.0
industrias_varias,nafta,CO2,73300.0
industrias_varias,gas_refineria,CO2,57600.0
industrias_varias,coque_petroleo,CO2,107000.0
industrias_varias,derivados_industria_petroleo,CO2,0.0
industrias_varias,electricidad,CO2,0.0
industrias_varias,carbon,CO2,94600.0
industrias_varias,coque_mineral,CO2,107000.0
industrias_varias,alquitran,CO2,80700.0
industrias_varias,gas_corriente,CO2,0.0
industrias_varias,gas_coque,CO2,0.0
industrias_varias,gas_alto_horno,CO2,260000.0
industrias_varias,gas_natural,CO2,56100.0
industrias_varias,metano,CO2,54600.0
industrias_varias,biogas,CO2,54600.0
industrias_varias,biomasa,CO2,0.0
industrias_varias,solar,CO2,0.0
industrias_varias,diesel,CH4,3.0
