Proceso,ID,ID_Sector,ID_Producto,Tipo ,Capacidad_Instalada,Fplanta,Estado,Agno_ini,Agno_fin,Vutil,Zona,ID_Curva,ID_Tecnologia,ID_Ener,ID_Precio_energ,ID_Costo_inversion,ConEsp,Cvar_no,Fcal,Fprecio,ID_Barra,Es_ERNC,ID_Zona_ERNC,Pmin,Regula,ConPropio,Inercia,Reserva_Primaria,Reserva_Secundaria,Impuesto,SPT,ID_Seg_Tran
CHANCON_FV,538,8,14,1,2.99,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
ESTERO_FV,539,8,14,1,2.7,0,1,2019,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
OVEJERIA_FV,540,8,14,1,9.0,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
CORDILLERILLA_FV,541,8,14,1,1.43,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
LAS_ARAUCARIAS_FV,542,8,14,1,0.14,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
ALTOS_DEL_PAICO_FV,543,8,14,1,2.1,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
TECHOS_DE_ALTAMIRA_FV,544,8,14,1,0.15,0,1,2014,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
SANTUARIO_FV,545,8,14,1,3.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,31,0.0,1,0.0,0,0,0,0,1,0
LA_MANGA_1_FV,546,8,14,1,3.5,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
EL_PITIO_FV,547,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
PORTEZUELO_FV,548,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
PERALILLO_FV,549,8,14,1,2.9,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
MOSTAZAL_FV,550,8,14,1,9.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
AMPARO_DEL_SOL_FV,551,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
LA_ACACIA_FV,552,8,14,1,8.5,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
CATAN_SOLAR_FV,553,8,14,1,3.0,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
LOS_PATOS_FV,554,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
