barra,agno,etapa,bloque,potencia,energia
SING        ,2023        ,5           ,3           ,     2286.55,   708831.65
SING        ,2023        ,5           ,4           ,     2260.86,   140173.43
SING        ,2023        ,5           ,5           ,     2347.93,   145571.78
SING        ,2023        ,6           ,1           ,     2342.31,   491884.20
SING        ,2023        ,6           ,2           ,     2357.16,   212144.58
SING        ,2023        ,6           ,3           ,     2298.70,   689611.44
SING        ,2023        ,6           ,4           ,     2251.42,   135085.47
SING        ,2023        ,6           ,5           ,     2295.39,   137723.44
SING        ,2023        ,7           ,1           ,     2299.51,   498993.22
SING        ,2023        ,7           ,2           ,     2326.44,   216358.86
SING        ,2023        ,7           ,3           ,     2264.70,   702057.10
SING        ,2023        ,7           ,4           ,     2192.21,   135917.04
SING        ,2023        ,7           ,5           ,     2204.45,   136675.85
SING        ,2023        ,8           ,1           ,     2320.81,   501294.66
SING        ,2023        ,8           ,2           ,     2351.73,   218711.20
SING        ,2023        ,8           ,3           ,     2294.76,   711374.59
SING        ,2023        ,8           ,4           ,     2215.10,   137336.43
SING        ,2023        ,8           ,5           ,     2254.40,   139773.01
SING        ,2023        ,9           ,1           ,     2318.38,   486860.82
SING        ,2023        ,9           ,2           ,     2345.60,   211104.15
SING        ,2023        ,9           ,3           ,     2297.05,   689115.10
SING        ,2023        ,9           ,4           ,     2235.35,   134121.25
SING        ,2023        ,9           ,5           ,     2269.85,   136190.77
SING        ,2023        ,10          ,1           ,     2322.55,   503993.01
SING        ,2023        ,10          ,2           ,     2352.74,   218805.27
SING        ,2023        ,10          ,3           ,     2291.02,   710216.21
SING        ,2023        ,10          ,4           ,     2342.72,   145248.59
SING        ,2023        ,10          ,5           ,     2363.64,   146545.97
SING        ,2023        ,11          ,1           ,     2398.10,   503601.79
SING        ,2023        ,11          ,2           ,     2324.33,   209189.98
SING        ,2023        ,11          ,3           ,     2332.46,   699737.83
SING        ,2023        ,11          ,4           ,     2437.41,   146244.38
SING        ,2023        ,11          ,5           ,     2457.19,   147431.39
SING        ,2023        ,12          ,1           ,     2415.33,   524126.11
SING        ,2023        ,12          ,2           ,     2420.99,   225152.09
SING        ,2023        ,12          ,3           ,     2315.10,   717680.27
SING        ,2023        ,12          ,4           ,     2349.77,   145685.86
SING        ,2023        ,12          ,5           ,     2370.63,   146979.01
SING        ,2024        ,1           ,1           ,     2244.33,   487019.37
SING        ,2024        ,1           ,2           ,     2226.48,   207062.25
SING        ,2024        ,1           ,3           ,     2177.88,   675143.15
SING        ,2024        ,1           ,4           ,     2238.17,   138766.56
SING        ,2024        ,1           ,5           ,     2322.11,   143970.67
SING        ,2024        ,2           ,1           ,     2086.89,   423637.96
SING        ,2024        ,2           ,2           ,     2055.56,   178833.59
SING        ,2024        ,2           ,3           ,     2028.18,   588172.57
SING        ,2024        ,2           ,4           ,     2128.37,   123445.42
SING        ,2024        ,2           ,5           ,     2144.88,   124402.76
SING        ,2024        ,3           ,1           ,     2183.81,   473887.59
SING        ,2024        ,3           ,2           ,     2178.84,   202631.91
SING        ,2024        ,3           ,3           ,     2138.76,   663015.31
SING        ,2024        ,3           ,4           ,     2158.89,   133851.30
SING        ,2024        ,3           ,5           ,     2219.97,   137638.29
SING        ,2024        ,4           ,1           ,     2388.18,   501516.77
SING        ,2024        ,4           ,2           ,     2281.85,   205366.95
SING        ,2024        ,4           ,3           ,     2291.19,   687358.38
SING        ,2024        ,4           ,4           ,     2274.07,   136444.09
SING        ,2024        ,4           ,5           ,     2328.78,   139727.07
SING        ,2024        ,5           ,1           ,     2396.65,   522469.19
SING        ,2024        ,5           ,2           ,     2420.73,   225128.15
SING        ,2024        ,5           ,3           ,     2332.69,   723134.50
SING        ,2024        ,5           ,4           ,     2306.41,   142997.59
SING        ,2024        ,5           ,5           ,     2395.07,   148494.18
SING        ,2024        ,6           ,1           ,     2389.57,   501810.59
SING        ,2024        ,6           ,2           ,     2404.55,   216409.86
SING        ,2024        ,6           ,3           ,     2345.36,   703608.19
SING        ,2024        ,6           ,4           ,     2296.74,   137804.64
SING        ,2024        ,6           ,5           ,     2341.62,   140497.04
SING        ,2024        ,7           ,1           ,     2346.07,   509097.34
SING        ,2024        ,7           ,2           ,     2373.37,   220723.17
SING        ,2024        ,7           ,3           ,     2310.65,   716300.02
SING        ,2024        ,7           ,4           ,     2236.66,   138672.76
SING        ,2024        ,7           ,5           ,     2249.01,   139438.45
SING        ,2024        ,8           ,1           ,     2367.65,   511411.40
SING        ,2024        ,8           ,2           ,     2399.17,   223122.88
SING        ,2024        ,8           ,3           ,     2341.36,   725822.32
SING        ,2024        ,8           ,4           ,     2259.71,   140101.77
SING        ,2024        ,8           ,5           ,     2299.51,   142569.37
SING        ,2024        ,9           ,1           ,     2365.01,   496651.44
SING        ,2024        ,9           ,2           ,     2392.75,   215347.55
